"region","age","2016"
"0582 Söderköping","30-49 years",544.3
"0582 Söderköping","50-64 years",551.1
"0583 Motala","18-29 years",298.4
"0583 Motala","30-49 years",470.7
"0583 Motala","50-64 years",487.1
"0584 Vadstena","18-29 years",310.9
"0584 Vadstena","30-49 years",507.8
"0584 Vadstena","50-64 years",506.4
"0586 Mjölby","18-29 years",324.9
"0586 Mjölby","30-49 years",505.1
"0586 Mjölby","50-64 years",476.4
"0604 Aneby","18-29 years",343.2
"0604 Aneby","30-49 years",492.6
"0604 Aneby","50-64 years",537.8
"0617 Gnosjö","18-29 years",358.8
"0617 Gnosjö","30-49 years",588.6
"0617 Gnosjö","50-64 years",666.6
"0642 Mullsjö","18-29 years",351.1
"0642 Mullsjö","30-49 years",483.2
"0642 Mullsjö","50-64 years",488.8
"0643 Habo","18-29 years",411.6
"0643 Habo","30-49 years",564.4
"0643 Habo","50-64 years",590.2
"0662 Gislaved","18-29 years",354.2
"0662 Gislaved","30-49 years",520.1
"0662 Gislaved","50-64 years",536.7
"0665 Vaggeryd","18-29 years",382.6
"0665 Vaggeryd","30-49 years",523.7
"0665 Vaggeryd","50-64 years",591.3
"0680 Jönköping","18-29 years",320.7
"0680 Jönköping","30-49 years",530.1
"0680 Jönköping","50-64 years",573.5
"0682 Nässjö","18-29 years",332.3
"0682 Nässjö","30-49 years",476.8
"0682 Nässjö","50-64 years",503.0
"0683 Värnamo","18-29 years",338.6
"0683 Värnamo","30-49 years",538.2
"0683 Värnamo","50-64 years",605.7
"0684 Sävsjö","18-29 years",353.6
"0684 Sävsjö","30-49 years",470.7
"0684 Sävsjö","50-64 years",519.1
"0685 Vetlanda","18-29 years",345.3
"0685 Vetlanda","30-49 years",496.2
"0685 Vetlanda","50-64 years",514.6
"0686 Eksjö","18-29 years",315.5
"0686 Eksjö","30-49 years",492.9
"0686 Eksjö","50-64 years",561.3
"0687 Tranås","18-29 years",290.8
"0687 Tranås","30-49 years",493.2
"0687 Tranås","50-64 years",486.1
"0760 Uppvidinge","18-29 years",321.1
"0760 Uppvidinge","30-49 years",467.0
"0760 Uppvidinge","50-64 years",481.1
"0761 Lessebo","18-29 years",321.2
"0761 Lessebo","30-49 years",442.3
"0761 Lessebo","50-64 years",492.9
"0763 Tingsryd","18-29 years",317.0
"0763 Tingsryd","30-49 years",445.6
"0763 Tingsryd","50-64 years",479.3
"0764 Alvesta","18-29 years",332.2
"0764 Alvesta","30-49 years",490.4
"0764 Alvesta","50-64 years",521.2
"0765 Älmhult","18-29 years",343.7
"0765 Älmhult","30-49 years",557.0
"0765 Älmhult","50-64 years",552.4
"0767 Markaryd","18-29 years",311.5
"0767 Markaryd","30-49 years",459.5
"0767 Markaryd","50-64 years",456.4
