"region","age","2016"
"2081 Borlänge","50-64 years",477.7
"2082 Säter","18-29 years",366.8
"2082 Säter","30-49 years",491.5
"2082 Säter","50-64 years",491.5
"2083 Hedemora","18-29 years",301.7
"2083 Hedemora","30-49 years",461.1
"2083 Hedemora","50-64 years",456.0
"2084 Avesta","18-29 years",284.7
"2084 Avesta","30-49 years",444.9
"2084 Avesta","50-64 years",456.5
"2085 Ludvika","18-29 years",300.3
"2085 Ludvika","30-49 years",439.4
"2085 Ludvika","50-64 years",455.8
"2101 Ockelbo","18-29 years",282.5
"2101 Ockelbo","30-49 years",430.6
"2101 Ockelbo","50-64 years",441.5
"2104 Hofors","18-29 years",278.5
"2104 Hofors","30-49 years",458.6
"2104 Hofors","50-64 years",437.2
"2121 Ovanåker","18-29 years",290.7
"2121 Ovanåker","30-49 years",427.3
"2121 Ovanåker","50-64 years",448.2
"2132 Nordanstig","18-29 years",332.4
"2132 Nordanstig","30-49 years",442.3
"2132 Nordanstig","50-64 years",444.7
"2161 Ljusdal","18-29 years",314.5
"2161 Ljusdal","30-49 years",434.8
"2161 Ljusdal","50-64 years",443.7
"2180 Gävle","18-29 years",297.1
"2180 Gävle","30-49 years",485.0
"2180 Gävle","50-64 years",512.6
"2181 Sandviken","18-29 years",303.4
"2181 Sandviken","30-49 years",465.2
"2181 Sandviken","50-64 years",499.6
"2182 Söderhamn","18-29 years",309.1
"2182 Söderhamn","30-49 years",441.3
"2182 Söderhamn","50-64 years",451.2
"2183 Bollnäs","18-29 years",276.5
"2183 Bollnäs","30-49 years",429.2
"2183 Bollnäs","50-64 years",450.6
"2184 Hudiksvall","18-29 years",298.4
"2184 Hudiksvall","30-49 years",460.1
"2184 Hudiksvall","50-64 years",477.6
"2260 Ånge","18-29 years",287.4
"2260 Ånge","30-49 years",430.0
"2260 Ånge","50-64 years",435.7
"2262 Timrå","18-29 years",345.8
"2262 Timrå","30-49 years",480.1
"2262 Timrå","50-64 years",470.7
"2280 Härnösand","18-29 years",271.3
"2280 Härnösand","30-49 years",435.1
"2280 Härnösand","50-64 years",445.1
"2281 Sundsvall","18-29 years",305.9
"2281 Sundsvall","30-49 years",498.2
"2281 Sundsvall","50-64 years",516.1
"2282 Kramfors","18-29 years",281.2
"2282 Kramfors","30-49 years",418.4
"2282 Kramfors","50-64 years",435.3
"2283 Sollefteå","18-29 years",292.4
"2283 Sollefteå","30-49 years",416.0
"2283 Sollefteå","50-64 years",425.0
"2284 Örnsköldsvik","18-29 years",317.1
"2284 Örnsköldsvik","30-49 years",497.9
"2284 Örnsköldsvik","50-64 years",525.0
"2303 Ragunda","18-29 years",333.8
"2303 Ragunda","30-49 years",408.8
"2303 Ragunda","50-64 years",404.0
"2305 Bräcke","18-29 years",304.5
"2305 Bräcke","30-49 years",421.6
"2305 Bräcke","50-64 years",421.6
"2309 Krokom","18-29 years",332.3
"2309 Krokom","30-49 years",504.4
"2309 Krokom","50-64 years",491.2
"2313 Strömsund","18-29 years",309.5
"2313 Strömsund","30-49 years",421.9
"2313 Strömsund","50-64 years",460.6
"2321 Åre","18-29 years",303.5
"2321 Åre","30-49 years",475.1
"2321 Åre","50-64 years",505.1
"2326 Berg","18-29 years",353.3
"2326 Berg","30-49 years",442.1
"2326 Berg","50-64 years",437.8
"2361 Härjedalen","18-29 years",334.4
"2361 Härjedalen","30-49 years",444.3
"2361 Härjedalen","50-64 years",460.1
"2380 Östersund","18-29 years",274.8
"2380 Östersund","30-49 years",479.8
"2380 Östersund","50-64 years",488.7
"2401 Nordmaling","18-29 years",326.7
"2401 Nordmaling","30-49 years",474.8
"2401 Nordmaling","50-64 years",472.7
"2403 Bjurholm","18-29 years",404.9
"2403 Bjurholm","30-49 years",445.5
"2403 Bjurholm","50-64 years",496.3
"2404 Vindeln","18-29 years",344.3
"2404 Vindeln","30-49 years",471.9
"2404 Vindeln","50-64 years",460.0
"2409 Robertsfors","18-29 years",347.8
"2409 Robertsfors","30-49 years",451.1
"2409 Robertsfors","50-64 years",480.7
"2417 Norsjö","18-29 years",322.5
"2417 Norsjö","30-49 years",438.4
"2417 Norsjö","50-64 years",436.3
"2418 Malå","18-29 years",320.2
"2418 Malå","30-49 years",422.1
"2418 Malå","50-64 years",499.9
"2421 Storuman","18-29 years",287.1
"2421 Storuman","30-49 years",447.2
"2421 Storuman","50-64 years",440.7
"2422 Sorsele","18-29 years",350.4
"2422 Sorsele","30-49 years",451.6
"2422 Sorsele","50-64 years",420.3
"2425 Dorotea","18-29 years",331.7
"2425 Dorotea","30-49 years",415.8
"2425 Dorotea","50-64 years",416.4
"2460 Vännäs","18-29 years",320.3
"2460 Vännäs","30-49 years",473.0
"2460 Vännäs","50-64 years",492.7
"2462 Vilhelmina","18-29 years",298.5
"2462 Vilhelmina","30-49 years",410.4
"2462 Vilhelmina","50-64 years",408.6
"2463 Åsele","18-29 years",331.8
"2463 Åsele","30-49 years",454.5
"2463 Åsele","50-64 years",407.2
"2480 Umeå","18-29 years",261.2
"2480 Umeå","30-49 years",489.2
"2480 Umeå","50-64 years",546.1
"2481 Lycksele","18-29 years",302.4
"2481 Lycksele","30-49 years",450.0
"2481 Lycksele","50-64 years",483.4
"2482 Skellefteå","18-29 years",309.9
"2482 Skellefteå","30-49 years",483.5
"2482 Skellefteå","50-64 years",515.5
"2505 Arvidsjaur","18-29 years",315.6
"2505 Arvidsjaur","30-49 years",457.9
"2505 Arvidsjaur","50-64 years",432.8
"2506 Arjeplog","18-29 years",330.0
"2506 Arjeplog","30-49 years",464.8
"2506 Arjeplog","50-64 years",471.5
"2510 Jokkmokk","18-29 years",356.1
"2510 Jokkmokk","30-49 years",418.2
"2510 Jokkmokk","50-64 years",467.5
"2513 Överkalix","18-29 years",347.3
"2513 Överkalix","30-49 years",447.7
"2513 Överkalix","50-64 years",435.4
"2514 Kalix","18-29 years",316.7
"2514 Kalix","30-49 years",451.9
"2514 Kalix","50-64 years",461.1
"2518 Övertorneå","18-29 years",393.2
"2518 Övertorneå","30-49 years",466.4
"2518 Övertorneå","50-64 years",435.8
"2521 Pajala","18-29 years",379.2
"2521 Pajala","30-49 years",470.9
"2521 Pajala","50-64 years",425.8
"2523 Gällivare","18-29 years",442.6
"2523 Gällivare","30-49 years",511.1
"2523 Gällivare","50-64 years",505.8
"2560 Älvsbyn","18-29 years",345.7
"2560 Älvsbyn","30-49 years",446.6
"2560 Älvsbyn","50-64 years",444.7
"2580 Luleå","18-29 years",276.7
"2580 Luleå","30-49 years",505.1
"2580 Luleå","50-64 years",524.7
"2581 Piteå","18-29 years",305.0
"2581 Piteå","30-49 years",490.1
"2581 Piteå","50-64 years",530.3
"2582 Boden","18-29 years",313.7
"2582 Boden","30-49 years",470.6
"2582 Boden","50-64 years",477.1
"2583 Haparanda","18-29 years",304.1
"2583 Haparanda","30-49 years",418.2
"2583 Haparanda","50-64 years",386.3
"2584 Kiruna","18-29 years",394.9
"2584 Kiruna","30-49 years",514.3
"2584 Kiruna","50-64 years",523.2
